final5best_random_1,blastHits,5
final5best_random_1,blast,11.219230175
final5best_random_1,mafftTime,13.4046230316
final5best_random_1,trimalTime,0.1117370129
final5best_random_1,fasttreeTime,0.9865820408
final5best_random_1,heatmapTime,2.3548200131
final5best_random_1,renderTime,1.6862390041
final5best_random_2,blastHits,10
final5best_random_2,blast,22.0869400501
final5best_random_2,mafftTime,30.2691950798
final5best_random_2,trimalTime,0.2699649334
final5best_random_2,fasttreeTime,3.129513979
final5best_random_2,heatmapTime,2.3691520691
final5best_random_2,renderTime,1.890182972
final5best_random_3,blastHits,15
final5best_random_3,blast,33.6770460606
final5best_random_3,mafftTime,47.4221260548
final5best_random_3,trimalTime,0.4849610329
final5best_random_3,fasttreeTime,5.4803340435
final5best_random_3,heatmapTime,2.4002230167
final5best_random_3,renderTime,2.1077759266
final5best_random_4,blastHits,21
final5best_random_4,blast,43.5878219604
final5best_random_4,mafftTime,76.4720931053
final5best_random_4,trimalTime,0.7980120182
final5best_random_4,fasttreeTime,4.627502203
final5best_random_4,heatmapTime,2.4372730255
final5best_random_4,renderTime,2.2433359623
final5best_random_5,blastHits,25
final5best_random_5,blast,55.4324588776
final5best_random_5,mafftTime,105.218357086
final5best_random_5,trimalTime,1.082005024
final5best_random_5,fasttreeTime,10.7535209656
final5best_random_5,heatmapTime,2.4766359329
final5best_random_5,renderTime,2.4940578938
final5best_random_6,blastHits,30
final5best_random_6,blast,65.1862859726
final5best_random_6,mafftTime,128.932190895
final5best_random_6,trimalTime,1.4656579495
final5best_random_6,fasttreeTime,9.6889770031
final5best_random_6,heatmapTime,2.5160579681
final5best_random_6,renderTime,2.6532011032
final5best_random_7,blastHits,35
final5best_random_7,blast,76.2860422134
final5best_random_7,mafftTime,168.395310879
final5best_random_7,trimalTime,1.9065718651
final5best_random_7,fasttreeTime,14.0373659134
final5best_random_7,heatmapTime,2.5575108528
final5best_random_7,renderTime,2.8905730248
final5best_random_8,blastHits,40
final5best_random_8,blast,88.6313970089
final5best_random_8,mafftTime,212.327842951
final5best_random_8,trimalTime,2.4183859825
final5best_random_8,fasttreeTime,18.5327680111
